Timestamp,Gender,Age,Nationality,Current Country of Residence,Current State of Residence,Current City of Residence,Highest Level of Education,Name of Highest Degree Obtained,Name of School or University,Is your degree tech related?,Did you go through a bootcamp to learn technical skills?,"Professional Certification (Eg. CCNA, CEH, GCP Cloud Associate)",Name of Bootcamp Course ,Name of Professional Certification(s),Job Title,What is your currency code?,What is your current monthly base salary?,What is your current bonus compensation per year?,What is your current equity (stock) compensation per year?,How many days of annual leave are you entitled to?,Company Benefits,What technologies do you use for work on a regular basis?,Company Location,Company Industry,What is the size of your company?,What is the size of your tech team? ,What's the name of your company? [Optional],Satisfaction Level of Current Job,Years of Experience,Number of past employments/jobs (excluding the current one),What was your starting monthly salary?,Indicate in 3-character currency code for starting monthly salary
26/07/2021 20:08:44,Male,24,Malaysian,Malaysia,,PJ,Undergraduate Degree,Bachelor of Computer Science ,UTAR,Yes,No,Yes,,Aws cloud associate,Software engineer,MYR,3000,0,0,14,"Health Insurance, Maternity Leave, Paternity Leave, Transport Allowance, Company Laptop",Php,"KL, Malaysia ","Data Infrastructure, Telecom",201-1000 employees,11 - 50 people,,7,1,1,700,
26/07/2021 20:09:08,Male,27,Syrian,Malaysia,Employment pass,Petaling Jaya,Undergraduate Degree,,,Yes,No,No,,,Android Developer,MYR,6000,0,0,15,"Health Insurance, Company Laptop","Kotlin, Android Studio, Slack, ClickUp","Selangor, Malaysia",Retail / ecommerce,11-50 employees,2 - 10 people,,7,5,1,2700,
26/07/2021 20:10:22,Female,30,Malaysian,Malaysia,Selangor,Kajang,Undergraduate Degree,BSC (HONS) IN SOFTWARE ENGINEERING,APU(APIIT),Yes,No,No,,,Systems Analyst Programmer,MYR,3900,0,0,14,"Remote Work, Company Laptop","ASP.NET 4.5, C#","Kuala Lumpur, Malaysia",Retail / ecommerce,11-50 employees,2 - 10 people,,5,5,1,2800,
26/07/2021 20:10:57,Male,29,Malaysian,Malaysia,Penang,Kulim,Masters Degree,Master in computer science,Adelaide university,Yes,No,No,,,Senior AI engineer,MYR,8000,0,0,14,"Health Insurance, Life Insurance, Dental Insurance, Vacation/Personal Days, Free Lunch, Free Snacks, Free Drinks, Remote Work, Company Laptop","Python, flutter, c#, java, NoSql","Penang, Malaysia","Industrials (Manufacturing, Construction, etc.)",51-200 employees,2 - 10 people,,8,5,2,2900,
26/07/2021 20:11:01,Male,41,Malaysian,Malaysia,Selangor,Kajang,Adv Diploma,NA,NCC UK,Yes,No,No,NA,NA,Senior Web Engineer,MYR,16800,0,NA,20,"Remote Work, Company Laptop",.Net,"Kuala Lumpur, Malaysia",Retail / ecommerce,11-50 employees,2 - 10 people,,7,18,7,1250,
26/07/2021 20:11:30,Male,31,Malaysian,Malaysia,KL,KL,Undergraduate Degree,Bachelor of information technology,Mmu,Yes,No,No,,,Full Stack developer,MYR,11000,0,0,16,"Health Insurance, Life Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Free Snacks, Free Drinks, Remote Work, Learning and Development","Php, javascript, mysql",PJ,"Media, Creative Industries",201-1000 employees,2 - 10 people,,8,8,4,2400,
26/07/2021 20:12:01,Male,23,Sri Lankan,Malaysia,Employment Pass,Subang Jaya,Undergraduate Degree,Bachelor of Electrical and Computer Systems Engineering,Monash University Malaysia,Yes,No,Yes,,Microsoft Certified Azure Fundamentals,Graduate DevOps Engineer,MYR,5253,0,0,14,"Health Insurance, Employee Assistance Program, Paternity Leave, Vacation/Personal Days, Remote Work, Learning and Development, Company Laptop, Immigration Assistance, Phone Bill Reimbursement","Slack, VS Code, Microsoft Azure, PowerShell, Azure DevOps","Kuala Lumpur, Malaysia",IT,201-1000 employees,2 - 10 people,,8,1,2,5253,
26/07/2021 20:12:15,Male,24,Malaysian,Malaysia,Selangor,Subang Jaya,Undergraduate Degree,Bachelor (Hons) of Computer Science,Taylor's University,Yes,No,No,,,Software Developer,MYR,3300,0,0,14,"Health Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Free Snacks, Remote Work, Gym/Wellness Reimbursement, Company Laptop","C#,Angular","Kuala Lumpur, Malaysia",Financial Services,51-200 employees,11 - 50 people,,8,1,0,3200,
26/07/2021 20:12:49,Male,28,Malaysian,Malaysia,W.P,Kuala Lumpur,Undergraduate Degree,Bachelor of Chemical Engineering,Monash,No,No,No,,,Programmer Analyst,MYR,3100,3100,0,14,"Vacation/Personal Days, Transport Allowance, Company Laptop, Phone Bill Reimbursement","Microsoft Dynamics ERP, SQL Server, Visual Studio","Wilayah Persekutuan, Malaysia","Professional Services (Law, Consulting, etc.)",1-10 employees,2 - 10 people,,6,0,2.5,2900,
26/07/2021 20:13:23,Male,24,Malaysian,Malaysia,Selangor,Seri Kembangan,Undergraduate Degree,Bachelor of Software Engineering,Asia Pacific University,Yes,No,No,,,Software Engineer,MYR,5200,0,0,14,"Health Insurance, Life Insurance, Maternity Leave, Paternity Leave, Sick Time (Unlimited), Remote Work, Company Laptop","XAMPP, PHPStorm, Bitbucket, Git, Postman","Kuala Lumpur, Malaysia",Software House,11-50 employees,2 - 10 people,TalentCloud.AI,9,2,2,4800,
26/07/2021 20:13:55,Male,24,Malaysian,Malaysia,Selangor,KLang,Undergraduate Degree,Bachelor of Internet Technology,TARUC (Tunku abdul rahman university college),Yes,No,Yes,,,Junior Mobile App Developer (flutter/native),MYR,3200,0,0,14,"Health Insurance, Life Insurance, Vacation/Personal Days, Free Snacks, Free Drinks, Learning and Development, Company Laptop, Company Phones","Flutter , Android Java/kotlin, Swift (ios)","Kuala Lumpur,Malaysia",Retail / ecommerce,11-50 employees,2 - 10 people,,6,1,1,2800,
26/07/2021 20:14:09,Male,31,Malaysian,Malaysia,Selangor,petaling jaya,Undergraduate Degree,diploma of computer science,uitm,Yes,No,No,,,programmer,MYR,10500,0,0,14,"Vacation/Personal Days, Remote Work",php,"Selangor, petaling jaya",Aerospace,51-200 employees,2 - 10 people,,8,11,4,10500,
26/07/2021 20:14:34,Male,26,Malaysian,Malaysia,Selangor,KLang,Undergraduate Degree,Bachelor of Computer Science,Multimedia University,Yes,No,No,,,Software development Engineer ,MYR,6650,11000,0,15,"Health Insurance, Life Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Gym/Wellness Reimbursement, Learning and Development, Company Laptop","C#, Angular, C++","Wilayah Kuala Lumpur, Malaysia",Entertainment,"1,001-10,000 employees",51 - 200 people,,8,3.5 years,2,2800,
26/07/2021 20:15:24,Male,25,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Bachelor of Software Engineering,Asia Pacific University,Yes,No,No,,,Application Engineer,MYR,4200,0,0,18,"Health Insurance, Paternity Leave, Free Snacks, Free Drinks, Remote Work, Phone Bill Reimbursement",java,"Selangor, Malaysia",Communication,11-50 employees,2 - 10 people,,7,3,1,3000,
26/07/2021 20:15:52,Male,26,Malaysian,Malaysia,Penang,Bukit Mertajam ,Undergraduate Degree,Bachelor Of Computer Science (Information Security) ,University Tun Hussein Onn Malaysia (UTHM) ,Yes,No,No,,,Application Developer II,MYR,3800,3800,0,17,"Health Insurance, Life Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Sick Time (Unlimited), Free Breakfast, Remote Work, Gym/Wellness Reimbursement, Employee Discount, Transport Allowance, Company Laptop","C#, .NET, Javascript, JQuery","Penang, Malaysia ","Industrials (Manufacturing, Construction, etc.)","1,001-10,000 employees",11 - 50 people,,8,2.5,0,3500,
26/07/2021 20:15:54,Male,23,Malaysian,Malaysia,Selangor,Subang Jaya,"Degree halfway, dropout",,,N/A,Yes,Yes,Next Academy,AWS DVA-C01,Full Stack Software Engineer,MYR,6500,0,0,14,"Health Insurance, Remote Work, Flexible time","AWS Serverless stack, Nodejs, Reactjs","Selangor, Malaysia",Recruitment,11-50 employees,2 - 10 people,,8,2,2,3200,
26/07/2021 20:16:40,Male,25,Indian,Malaysia,Selangor ,Jenjarom ,Undergraduate Degree,Bachelors in computer engineering ,Manipal International University nilai ,Yes,No,No,,,Devops engineer,MYR,7000,14000,0,14,"Health Insurance, Dental Insurance, Maternity Leave, Vacation/Personal Days, Free Snacks, Tuition Reimbursement, Company Laptop, Immigration Assistance","Aws, gcp, metatrader, Linux ","Cyberjaya, Malaysia ",Financial Services,201-1000 employees,11 - 50 people,Deriv.com ,5,2,0,6000,
26/07/2021 20:17:40,Female,22,Malaysian,Malaysia,Kuala Lumpur,Cheras,Undergraduate Degree,Bachelor Degree of Software Engineering,Tunku Abdul Rahman University College,Yes,No,Yes,,CCNA,Web Developer,MYR,3000,0,0,4,"Vacation/Personal Days, Learning and Development, Tuition Reimbursement, Student Load Repayment Plan","JSON, ASP.NET","Selangor, Malaysia",Retail / ecommerce,11-50 employees,2 - 10 people,,10,0,3,1600,
26/07/2021 20:17:46,Male,23,Malaysian,Malaysia,Selangor ,Seri Kembangan ,Undergraduate Degree,Bachelor of Computer Science ,UTAR,Yes,No,No,,,"Senior Software Engineer, Full Stack ",MYR,5000,5000,0,14,"Health Insurance, Dental Insurance, Free Snacks, Remote Work, Learning and Development, Company Laptop, Performance bonus ","Golang, javascript, React, Mysql, elastic search","Selangor, Malaysia",Financial Services,51-200 employees,11 - 50 people,,10,1,2,3800,
26/07/2021 20:21:07,Male,28,Malaysian,Malaysia,KL,KL,Undergraduate Degree,Bachelor of computer science,Utar,Yes,No,No,,,Software engineer,MYR,8500,8500,,14,"Health Insurance, Vacation/Personal Days, Company Laptop","Delphi,.net,nodejs,php","KL,malaysia","Data Infrastructure, Telecom",1-10 employees,Team of 1,,7,4,1,3500,
26/07/2021 20:22:00,Female,27,Malaysian,Malaysia,Selangor,Puchong,Undergraduate Degree,Bachelor of Computer Science,MMU,Yes,No,No,,,Mobile developer ,MYR,5000,2000,0,18,"Maternity Leave, Paternity Leave, Free Snacks, Company Laptop, Company Phones, Medical claims",.,"Selangor, Malaysia","Transport, Logistics",51-200 employees,11 - 50 people,,6,4,0,3000,
26/07/2021 20:23:04,Male,27,Malaysian,Singapore,-,Singapore,Undergraduate Degree,Bachelor of computer science major in software engineering,Universiti Teknologi Malaysia,Yes,No,Yes,,"CPRE, CTFL",Software engineer,SGD,4300,7000,0,14,"Paternity Leave, Remote Work, Company Laptop","Reactjs, MySQL, Postgresql, Elasticsearch, docker, Message queue",Singapore,"Public Service, Social Service",51-200 employees,2 - 10 people,,7,3,1,3600,
26/07/2021 20:23:14,Male,23,Malaysian,Malaysia,KL,KL,Undergraduate Degree,Actuarial Studies,Sunway Uni,No,No,No,,,Data Scientist,MYR,3600,0,0,15,"Vacation/Personal Days, Sick Time (Unlimited), Remote Work","Python, Aliyun, Airflow, Superset, Postgres","Selangor, Malaysia","Professional Services (Law, Consulting, etc.)",11-50 employees,11 - 50 people,,8,1,1,3600,
26/07/2021 20:24:16,Male,28,Malaysian,Malaysia,,,Masters Degree,,,No,Yes,Yes,"Mulesoft Certified Developer course, GCP coursera course",Mulesoft Certified Developer level 1,Consulting Development Analyst,MYR,4700,6500,,15,"Health Insurance, Life Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Company Laptop","API- Muelsoft, Apigee and SAP API manager","Kuala Lumpur, Malaysia","Professional Services (Law, Consulting, etc.)",">10,000employees",200+ people,,8,3,0,4130,
26/07/2021 20:25:17,Male,22,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Bachelor's of computer science ,KDU University College ,Yes,No,No,,,Front End Developer ,MYR,3500,0,0,14,"Health Insurance, Free Lunch, Free Snacks, Free Drinks, Remote Work, Transport Allowance, Company Laptop","Slack, Trello","Petaling Jaya, Selangor ",IT,11-50 employees,11 - 50 people,,10,1,0,3500,
26/07/2021 20:26:01,Male,27,Malaysian,Malaysia,KL,KL,Undergraduate Degree,Computer science,Utar,Yes,No,No,,,Software engineer,MYR,7500,7500,0,16,Health Insurance,Java,"KL, malaysia",Human resource,11-50 employees,11 - 50 people,,7,4,0,4000,
26/07/2021 20:26:09,Male,24,Malaysian,Malaysia,Pulau pinang,Georgetown,Undergraduate Degree,Bachelor of Computer Science,Universit Sains Malaysia,Yes,No,No,,,SOFTWARE ENGINEER,MYR,4000,0,0,15,"Free Snacks, Remote Work, Company Laptop",Java MySQL,Singapore,Education,11-50 employees,2 - 10 people,,6,0,0,4000,
26/07/2021 20:26:13,Male,21,Malaysian,Malaysia,Selangor,Petaling Jaya ,Undergraduate Degree,Bachelor of software engineering ,Asia pacific university ,Yes,No,No,,,Android developer ,MYR,1500,0,0,16,Health Insurance,Android studio ,"Selangor , malaysia  ","Data Infrastructure, Telecom",11-50 employees,2 - 10 people,ATX (M) Sdn Bhd ,1,0,0,1200,
26/07/2021 20:26:26,Male,22,Malaysian,Malaysia,Selangor ,Batu Caves,Undergraduate Degree,Bachelor of software engineering ,APU,Yes,No,No,,,Software engineer ,MYR,3800,0,0,16,"Health Insurance, Life Insurance","C#.Net, Jquery","Kuala Lumpur, Malaysia ","Professional Services (Law, Consulting, etc.)",51-200 employees,2 - 10 people,,6,0.5,0,3800,
26/07/2021 20:26:34,Male,25,Malaysian,Malaysia,Kuala Lumpur,Batu Caves,Undergraduate Degree,Bachelor of Information Technology,HELP University,Yes,No,No,,,Software Developer,MYR,5700,0,0,13,"Health Insurance, Dental Insurance, Maternity Leave, Free Snacks, Free Drinks, Transport Allowance, Broadband and meal allowance","Java, Vuejs, python","Kuala Lumpur, Malaysia",Financial Services,51-200 employees,11 - 50 people,,5,2.8,1,3500,
26/07/2021 20:26:53,Male,26,Malaysian,Malaysia,Selangor,,Undergraduate Degree,Bachelor of Software Engineering,Asia Pacific University,Yes,No,No,,,Software Engineer,MYR,6500,0,0,16,"Health Insurance, Life Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Learning and Development, Company Laptop","nodejs, aws, angular js, github, buildkite","Kuala Lumpur, Malaysia",Employment / job searching,201-1000 employees,2 - 10 people,,9,3,1,3000,
26/07/2021 20:26:59,Male,26,Malaysian,Malaysia,Selangor,Shaah alam,Undergraduate Degree,Bachelor of computer science,Universiti Tunku Adbul Rahman ,Yes,No,No,,,Android App Developer,MYR,3500,0,0,8,"Health Insurance, Sick Time (Unlimited), Transport Allowance, Company Laptop",Android Studio,"Selangor, Malaysia",Smart Home & security,11-50 employees,Team of 1,,7,10 months,1,3300,
26/07/2021 20:27:08,Male,29,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Bachelor of IT,IIUM,Yes,No,No,,,It exec,MYR,5000,0,0,20,"Health Insurance, Life Insurance, Maternity Leave, Paternity Leave, Sick Time (Unlimited), Remote Work, Company Laptop","PHP, Laravel",Shah Alam,"Transport, Logistics","1,001-10,000 employees",2 - 10 people,,7,4,1,2500,
26/07/2021 20:27:11,Male,33,Malaysian,Malaysia,Kuala Lumpur,Kuala Lumpur,Undergraduate Degree,BIT,MMU,Yes,No,No,,,Full Stack Dev,MYR,5000,0,,12,Remote Work,"Angular, NodeJS, Retool",Kuala Lumpur,Events,11-50 employees,2 - 10 people,MP,10,4,1,2500,
26/07/2021 20:27:28,Male,24,Syrian,Syria,,,Undergraduate Degree,Bachelor of Computer Science,Damascus University ,Yes,Yes,No,Various Coursera/Udemy/YouTube courses,,Mobile Applications Develoepr,MYR,6000,0,0,15,"Health Insurance, Employee Assistance Program, Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Company Laptop, Company Phones","Flutter, Android","Malaysia, KL",Auto Vehicles,11-50 employees,2 - 10 people,,8,4,5,3000,
26/07/2021 20:28:01,Male,27,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Bachelor of Computer Science,University of Wollongong,Yes,No,No,,,Full Stack Developer,MYR,7000,0,0,20,"Vacation/Personal Days, Sick Time (Unlimited), Free Lunch, Free Dinner, Remote Work, Learning and Development, Company Laptop","PHP, MYSQL, AWS","Selangor, Malaysia",Retail / ecommerce,1-10 employees,2 - 10 people,,8,5,4,2500,
26/07/2021 20:28:07,Male,28,-,Malaysia,KL,KL,Masters Degree,Bachelor of Software Engineering,INTI,Yes,No,No,,,Senior Software Engineer,MYR,8500,0,0,15,"Health Insurance, Remote Work",React Native and nodeJS,"KL, KL",Ecommerce,11-50 employees,2 - 10 people,,7,6,2,2900,
26/07/2021 20:28:24,Male,31,Malaysian,Malaysia,KL,KL,Masters Degree,Bachelor of Computer Science,Apiit,Yes,No,No,,,Senior Programmer,MYR,7200,0,0,26,"Health Insurance, Maternity Leave, Remote Work, Company Laptop","Java, Spring, Hibernate, Obj-C, Swift.",PJ,Financial Services,11-50 employees,2 - 10 people,,6,8,0,3200,
26/07/2021 20:29:16,Male,30,Malaysian,Malaysia,Selangor,Batang kali,Masters Degree,Bach of information system engineering ,Utar,Yes,No,No,,,Software developer ,MYR,6800,6800,,15,"Remote Work, Company Laptop",.net,"Melbourne, Australia","Industrials (Manufacturing, Construction, etc.)",11-50 employees,2 - 10 people,,8,6,2,2700,
26/07/2021 20:29:16,Male,24,Malaysian,Malaysia,Perak,Perak,Undergraduate Degree,Computer Science,University Tunku Abdul Rahman,Yes,No,No,,,Software Engineer ,MYR,4500,0,0,15,"Free Snacks, Free Drinks, Remote Work, Company Laptop",Angular Spring Boot Docker Kubernetes ,"Selangor , Malaysia",Information Technology & Services ,"1,001-10,000 employees",2 - 10 people,,7,0,0,4500,
26/07/2021 20:29:18,Male,26,Malaysian,Malaysia,Selangor,Cheras,Undergraduate Degree,actuarial science,UKM,No,Yes,Yes,Terang,"Azure 105,500,303,304",Front end Software developer,MYR,3500,0,0,12,"Health Insurance, Paternity Leave, Remote Work, Company Laptop","Angular, flutter","Selangor, Malaysia",House & Home,11-50 employees,2 - 10 people,Enotaker Technology sdn Bhd,8,3,2,2500,
26/07/2021 20:30:48,Male,29,Malaysian,Japan,Tokyo,,Masters Degree,Master in electronic and computer system,,N/A,No,No,,,Web application engineer,JPY,370000,0,0,10,"Health Insurance, Free Drinks, Remote Work, Transport Allowance, Company Laptop, Company Phones","JS, electron, nodejs, react, angular","Tokyo, Japan",Insurance,201-1000 employees,2 - 10 people,,6,3,1,230000,
26/07/2021 20:31:18,Male,26,Malaysian,Malaysia,Selangor,Dengkil,Undergraduate Degree,Bachelor of computer engineering,Ukm,Yes,No,No,,,Software engineer,MYR,4800,0,0,15,"Health Insurance, Life Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Gym/Wellness Reimbursement, Employee Discount",Java,"Selangor, Malaysia",Financial Services,51-200 employees,11 - 50 people,,6,2,1,3000,
26/07/2021 20:31:41,Male,26,Malaysian,Malaysia,Selangor,Cheras,Undergraduate Degree,Bachelor of Computer Science,Multimedia University,Yes,No,No,,,Mobile Engineer,MYR,5200,0,0,0,"Health Insurance, Dental Insurance, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Remote Work",React Native,"Kuala Lumpur, Malaysia",Financial Services,201-1000 employees,2 - 10 people,MoneyLion,9,2,2,3000,
26/07/2021 20:32:14,Male,25,Malaysian,Singapore,Singapore,Singapore,Undergraduate Degree,Bachelor of xxx,xxx,Yes,No,Yes,,,Software Engineer,SGD,6800,12240,37570,18,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days","Golang, React",Singapore,Tech,"1,001-10,000 employees",2 - 10 people,,5,3,2,4000,
26/07/2021 20:33:51,Male,26,Malaysian,Malaysia,Selangor,Seri Kembangan ,Undergraduate Degree,Bch of Software Engineer ,UKM,Yes,No,No,,,HR Digitisation Specialist ,MYR,4000,4000,0,15,"Health Insurance, Paternity Leave, Transport Allowance, Company Laptop",ASP.NET,"Petaling Jaya, Selangor ","Energy, Utilities",201-1000 employees,2 - 10 people,,4,4,1,3000,
26/07/2021 20:34:17,Male,28,Malaysian,Malaysia,Northern region,Ipoh,Undergraduate Degree,CS,University Sains Malaysia ,Yes,No,Yes,,AWA Developer Associate ,Software Engineer,USD,5200,0,0.1 percent company total share,0,"Vacation/Personal Days, Sick Time (Unlimited), Technology reimbursement ","Typescript, Python, React ",Silicon valley ,Financial Services,11-50 employees,11 - 50 people,-,10,4,3,850,
26/07/2021 20:35:45,Male,23,Malaysian,Malaysia,Negeri Sembilan ,Port Dickson,Undergraduate Degree,Bachelor of Computer Science in software engineering,Tunku Abdul Rahman University College,Yes,No,No,,,Software engineer (remote),MYR,5250,0,0,12,"Maternity Leave, Paternity Leave, Remote Work",Laptop,Singapore,Robotic software,11-50 employees,2 - 10 people,Movel Ai,8,1,1,4000,
26/07/2021 20:36:01,Male,26,Malaysian,Malaysia,Kuala Lumpur,Cheras,Undergraduate Degree,Bachelor Science Computer Major Computer System,Universiti Putra Malaysia (UPM),Yes,No,No,,,Software Developer,MYR,3000,0,0,18,"Remote Work, Company Laptop","Vue.Js, Node.Js, Feathers.js, Flutter, Mongo DB","Kuala lumpur, Malaysia",Internet Technology,1-10 employees,2 - 10 people,,5,2,2,2500,
26/07/2021 20:37:00,Male,27,Malaysian,Malaysia,Selangor,PJ,Undergraduate Degree,Bachelor of Computer Science major in Network Security,INTI International University/Coventry University,Yes,No,Yes,,"CCNA, Arista AWGCA, Infoblox CDCA, Peplink Sales Specialist, H3CNE, H3CSE WLAN",Presales Technical Consultant,MYR,3700,0,0,14,"Health Insurance, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Free Snacks, Free Drinks, Learning and Development, Tuition Reimbursement, Transport Allowance, Company Laptop, Phone Bill Reimbursement","Office 365, Putty, VM, HCI, routing & switching, wifi 5, wifi 6,","Selangor, Malaysia",Distribution of IT hardware and software,11-50 employees,2 - 10 people,,8,3,2,2500,
26/07/2021 20:37:21,Male,29,Malaysian,Malaysia,KUALA LUMPUR ,CHERAS ,Undergraduate Degree,Degree in Electrical and Electronic Engineering (Electronics) ,University Malaysia Pahang,Yes,Yes,No,"Web developer bootcamp, data scientist bootcamp, python bootcamp - udemy",,FIRMWARE ENGINEER/SOFTWARE TEST ENGINEER,MYR ,4000,16000,0,18,"Health Insurance, Life Insurance, Dental Insurance, Sick Time (Unlimited), Remote Work, Learning and Development, Company Laptop, Company Phones","Python(Appium & Selenium) , Embedded C, National Instruments (NI-DAQ) ",Shah Alam,"Industrials (Manufacturing, Construction, etc.)","1,001-10,000 employees",2 - 10 people,,7,5,-,2800,
26/07/2021 20:37:49,Male,24,Malaysian,Malaysia,Melaka,Pokok Mangga,Diploma,Diploma of IT,Help University Damansara,Yes,No,No,,,Frontend Developer,MYR,4300,0,,16,"Paternity Leave, Remote Work, Learning and Development, Company Laptop","Jetbrains, Svelte, Kotlin, React, Golang, MongoDB","Selangor, Malaysia",Financial Services,11-50 employees,11 - 50 people,,8,3,1,2500,
